pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
47.3086,-21.4317,90.0,top,J1,,,PinHeader_1x14_P2.54mm_Vertical,Keyboard Left,tht
116.0489,-21.4317,90.0,top,J2,,,PinHeader_1x14_P2.54mm_Vertical,Keyboard Right,tht
152.7206,-100.0146,0.0,top,SW1,,,SW_Cherry_MX_PCB_1.00u,e^x 10^x,tht
152.7206,-61.9138,0.0,top,SW10,,,SW_Cherry_MX_PCB_1.00u,2nd FUNC,tht
109.8572,-80.9642,0.0,top,SW11,,,SW_Cherry_MX_PCB_1.00u,ARCTAN,tht
152.7206,-180.9788,0.0,top,SW12,,,SW_Cherry_MX_PCB_1.00u,a^x,tht
90.8068,-142.878,0.0,top,SW13,,,SW_Cherry_MX_PCB_1.00u,5,tht
47.9434,-100.0146,0.0,top,SW14,,,SW_Cherry_MX_PCB_1.00u,EXCHn,tht
109.6985,-38.4182,0.0,top,SW15,,,SW_Cherry_MX_PCB_1.00u,START/STOP,tht
90.8068,-80.9642,0.0,top,SW16,,,SW_Cherry_MX_PCB_1.00u,"x,y → Θ,r",tht
152.7206,-142.878,0.0,top,SW17,,,SW_Cherry_MX_PCB_1.00u,DIV,tht
47.9434,-161.9284,0.0,top,SW18,,,SW_Cherry_MX_PCB_1.00u,EXP,tht
71.7564,-142.878,0.0,top,SW19,,,SW_Cherry_MX_PCB_1.00u,4,tht
152.7206,-123.8276,0.0,top,SW2,,,SW_Cherry_MX_PCB_1.00u,),tht
47.9434,-142.878,0.0,top,SW20,,,SW_Cherry_MX_PCB_1.00u,RCLn,tht
47.9434,-180.9788,0.0,top,SW21,,,SW_Cherry_MX_PCB_1.00u,CLEAR ENTRY,tht
128.9076,-61.9138,0.0,top,SW22,,,SW_Cherry_MX_PCB_1.00u,º → R → º,tht
71.7564,-80.9642,0.0,top,SW23,,,SW_Cherry_MX_PCB_1.00u,ARCSIN ARCCOS,tht
152.7206,-161.9284,0.0,top,SW24,,,SW_Cherry_MX_PCB_1.00u,MUL,tht
109.8572,-180.9788,0.0,top,SW25,,,SW_Cherry_MX_PCB_1.00u,CHG SIGN,tht
109.8572,-161.9284,0.0,top,SW26,,,SW_Cherry_MX_PCB_1.00u,3,tht
47.9434,-123.8276,0.0,top,SW27,,,SW_Cherry_MX_PCB_1.00u,STn,tht
47.9434,-80.9642,0.0,top,SW28,,,SW_Cherry_MX_PCB_1.00u,RESET,tht
109.8572,-61.9138,0.0,top,SW29,,,SW_Cherry_MX_PCB_1.00u,TAN,tht
128.9076,-80.9642,0.0,top,SW3,,,SW_Cherry_MX_PCB_1.00u,DEC → D.MS,tht
109.8572,-100.0146,0.0,top,SW30,,,SW_Cherry_MX_PCB_1.00u,INV,tht
133.6702,-142.878,0.0,top,SW31,,,SW_Cherry_MX_PCB_1.00u,MINUS,tht
90.8068,-180.9788,0.0,top,SW32,,,SW_Cherry_MX_PCB_1.00u,DP,tht
90.8068,-161.9284,0.0,top,SW33,,,SW_Cherry_MX_PCB_1.00u,2,tht
90.8068,-61.9138,0.0,top,SW34,,,SW_Cherry_MX_PCB_1.00u,"Θ,r → x,y",tht
90.8068,-100.0146,0.0,top,SW35,,,SW_Cherry_MX_PCB_1.00u,SQRT,tht
133.6702,-161.9284,0.0,top,SW36,,,SW_Cherry_MX_PCB_1.00u,PLUS,tht
109.8572,-123.8276,0.0,top,SW37,,,SW_Cherry_MX_PCB_1.00u,9,tht
71.7564,-161.9284,0.0,top,SW38,,,SW_Cherry_MX_PCB_1.00u,1,tht
71.7564,-61.9138,0.0,top,SW39,,,SW_Cherry_MX_PCB_1.00u,SIN COS,tht
71.7564,-123.8276,0.0,top,SW4,,,SW_Cherry_MX_PCB_1.00u,7,tht
71.7564,-100.0146,0.0,top,SW40,,,SW_Cherry_MX_PCB_1.00u,PI,tht
133.6702,-180.9788,0.0,top,SW41,,,SW_Cherry_MX_PCB_1.00u,EQUALS,tht
90.8068,-123.8276,0.0,top,SW42,,,SW_Cherry_MX_PCB_1.00u,8,tht
71.7564,-180.9788,0.0,top,SW43,,,SW_Cherry_MX_PCB_1.00u,0,tht
90.8068,-33.5008,180.0,top,SW44,,,L101021MS02Q,FED/MUNI,tht
152.7206,-33.5008,180.0,top,SW45,,,L101021MS02Q,RUN/LOAD,tht
128.9076,-33.5008,180.0,top,SW46,,,L101021MS02Q,PROG 1/2,tht
71.7564,-33.3382,180.0,top,SW47,,,L101021MS02Q,RUN/STEP/LOAD,tht
45.5621,-33.5008,180.0,top,SW48,,,L101021MS02Q,GRAD/DEG,tht
152.7206,-80.9642,0.0,top,SW5,,,SW_Cherry_MX_PCB_1.00u,Ln LOG,tht
133.6702,-123.8276,0.0,top,SW6,,,SW_Cherry_MX_PCB_1.00u,(,tht
128.9076,-100.0146,0.0,top,SW7,,,SW_Cherry_MX_PCB_1.00u,D.MS → DEC,tht
109.8572,-142.878,0.0,top,SW8,,,SW_Cherry_MX_PCB_1.00u,6,tht
47.9434,-61.9138,0.0,top,SW9,,,SW_Cherry_MX_PCB_1.00u,SET DP,tht
